CustomerCountry,revenue,quantity,orders
UK,201264.3800,7924,250
Brazil,177641.8100,7139,264
France,163276.3100,6400,268
Germany,132840.4500,4780,220
USA,128327.4000,5306,269
Argentina,119947.1900,4106,103
Venezuela,75127.3600,2201,98
Italy,61222.3600,1640,101
Canada,43310.6300,1718,83
Finland,39727.3000,1555,66
Sweden,38635.0500,1355,68
Spain,37758.1500,1748,83
Portugal,26259.9500,624,23
Switzerland,25810.7000,1125,49
Belgium,20093.5500,760,41
Austria,19275.8600,777,35
Denmark,18743.2500,907,35
Mexico,13973.1000,686,43
Poland,6693.3000,353,33
Ireland,3063.2000,122,9
Norway,1467.2900,91,14
