,quantity_or_forecast
2008-01-01,3466.0000
2008-02-01,3115.0000
2008-03-01,4065.0000
2008-04-01,4680.0000
2008-05-01,921.0000
2008-07-01,1462.0000
2008-08-01,1322.0000
2008-09-01,3185.0000
2008-10-01,3473.0000
2009-01-01,2401.0000
2009-02-01,2132.0000
2009-03-01,1770.0000
2009-04-01,1912.0000
2009-05-01,2164.0000
2009-06-01,1635.0000
2009-07-01,2054.0000
2009-08-01,1861.0000
2009-09-01,5164.0000
2009-10-01,4535.0000
2009-11-01,4473.9205
2009-12-01,5010.0178
2010-01-01,5597.3713
2010-02-01,6235.9813
2010-03-01,6925.8476
2010-04-01,7666.9704
