YearMonth,revenue,quantity,orders
2008-01-01,100854.7200,3466,152
2008-02-01,104561.9500,3115,122
2008-03-01,109825.4500,4065,178
2008-04-01,134630.5600,4680,180
2008-05-01,19898.6600,921,59
2008-07-01,30192.1000,1462,59
2008-08-01,26609.4000,1322,69
2008-09-01,76823.8000,3185,134
2008-10-01,90907.6000,3473,139
2009-01-01,66692.8000,2401,85
2009-02-01,41207.2000,2132,79
2009-03-01,39979.9000,1770,77
2009-04-01,55699.3900,1912,81
2009-05-01,56823.7000,2164,96
2009-06-01,39088.0000,1635,76
2009-07-01,55464.9300,2054,77
2009-08-01,49981.6900,1861,84
2009-09-01,138974.8800,5164,213
2009-10-01,116241.8600,4535,195
