YearMonth,No,Yes
2008-01-01,100854.7200,0.0000
2008-02-01,104561.9500,0.0000
2008-03-01,109825.4500,0.0000
2008-04-01,134630.5600,0.0000
2008-05-01,19898.6600,0.0000
2008-07-01,0.0000,30192.1000
2008-08-01,0.0000,26609.4000
2008-09-01,0.0000,76823.8000
2008-10-01,0.0000,90907.6000
2009-01-01,0.0000,66692.8000
2009-02-01,0.0000,41207.2000
2009-03-01,0.0000,39979.9000
2009-04-01,0.0000,55699.3900
2009-05-01,0.0000,56823.7000
2009-06-01,0.0000,39088.0000
2009-07-01,0.0000,55464.9300
2009-08-01,0.0000,49981.6900
2009-09-01,77476.2600,61498.6200
2009-10-01,19288.8600,96953.0000
